country,frequency,start_date,end_date,year,month,week,deaths,expected_deaths,excess_deaths,baseline
United States,weekly,1/6/2020,1/12/2020,2020,1,2,60710,60757,-47,2015-2019 historical data
United States,weekly,1/13/2020,1/19/2020,2020,1,3,59360,60179,-819,2015-2019 historical data
United States,weekly,1/20/2020,1/26/2020,2020,1,4,59140,60064,-924,2015-2019 historical data
United States,weekly,1/27/2020,2/2/2020,2020,2,5,58800,60821,-2021,2015-2019 historical data
United States,weekly,2/3/2020,2/9/2020,2020,2,6,59380,60545,-1165,2015-2019 historical data
United States,weekly,2/10/2020,2/16/2020,2020,2,7,58789,60206,-1417,2015-2019 historical data
United States,weekly,2/17/2020,2/23/2020,2020,2,8,58877,59837,-960,2015-2019 historical data
United States,weekly,2/24/2020,3/1/2020,2020,3,9,59273,59440,-167,2015-2019 historical data
United States,weekly,3/2/2020,3/8/2020,2020,3,10,59637,59014,623,2015-2019 historical data
United States,weekly,3/9/2020,3/15/2020,2020,3,11,58636,58558,78,2015-2019 historical data
United States,weekly,3/16/2020,3/22/2020,2020,3,12,59191,58069,1122,2015-2019 historical data
United States,weekly,3/23/2020,3/29/2020,2020,3,13,62971,57547,5424,2015-2019 historical data
United States,weekly,3/30/2020,4/5/2020,2020,4,14,72276,56999,15277,2015-2019 historical data
United States,weekly,4/6/2020,4/12/2020,2020,4,15,79058,56441,22617,2015-2019 historical data
United States,weekly,4/13/2020,4/19/2020,2020,4,16,76757,55891,20866,2015-2019 historical data
United States,weekly,4/20/2020,4/26/2020,2020,4,17,73850,55366,18484,2015-2019 historical data
United States,weekly,4/27/2020,5/3/2020,2020,5,18,69268,54884,14384,2015-2019 historical data
United States,weekly,5/4/2020,5/10/2020,2020,5,19,66764,54459,12305,2015-2019 historical data
United States,weekly,5/11/2020,5/17/2020,2020,5,20,64437,54097,10340,2015-2019 historical data
United States,weekly,5/18/2020,5/24/2020,2020,5,21,61562,53791,7771,2015-2019 historical data
United States,weekly,5/25/2020,5/31/2020,2020,5,22,59614,53538,6076,2015-2019 historical data
United States,weekly,6/1/2020,6/7/2020,2020,6,23,58839,53333,5506,2015-2019 historical data
United States,weekly,6/8/2020,6/14/2020,2020,6,24,57965,53170,4795,2015-2019 historical data
United States,weekly,6/15/2020,6/21/2020,2020,6,25,57915,53045,4870,2015-2019 historical data
United States,weekly,6/22/2020,6/28/2020,2020,6,26,58419,52947,5472,2015-2019 historical data
United States,weekly,6/29/2020,7/5/2020,2020,7,27,59763,52865,6898,2015-2019 historical data
United States,weekly,7/6/2020,7/12/2020,2020,7,28,61837,52788,9049,2015-2019 historical data
United States,weekly,7/13/2020,7/19/2020,2020,7,29,63417,52705,10712,2015-2019 historical data
United States,weekly,7/20/2020,7/26/2020,2020,7,30,64488,52604,11884,2015-2019 historical data
United States,weekly,7/27/2020,8/2/2020,2020,8,31,64479,52482,11997,2015-2019 historical data
United States,weekly,8/3/2020,8/9/2020,2020,8,32,63939,52364,11575,2015-2019 historical data
United States,weekly,8/10/2020,8/16/2020,2020,8,33,63864,52276,11588,2015-2019 historical data
United States,weekly,8/17/2020,8/23/2020,2020,8,34,62700,52246,10454,2015-2019 historical data
United States,weekly,8/24/2020,8/30/2020,2020,8,35,61153,52300,8853,2015-2019 historical data
United States,weekly,8/31/2020,9/6/2020,2020,9,36,60050,52467,7583,2015-2019 historical data
United States,weekly,9/7/2020,9/13/2020,2020,9,37,59227,52747,6480,2015-2019 historical data
United States,weekly,9/14/2020,9/20/2020,2020,9,38,59242,53100,6142,2015-2019 historical data
United States,weekly,9/21/2020,9/27/2020,2020,9,39,59897,53484,6413,2015-2019 historical data
United States,weekly,9/28/2020,10/4/2020,2020,10,40,58652,53858,4794,2015-2019 historical data
United States,weekly,10/5/2020,10/11/2020,2020,10,41,60277,54178,6099,2015-2019 historical data
United States,weekly,10/12/2020,10/18/2020,2020,10,42,58769,54406,4363,2015-2019 historical data
United States,weekly,10/19/2020,10/25/2020,2020,10,43,60204,54559,5645,2015-2019 historical data
United States,weekly,10/26/2020,11/1/2020,2020,11,44,61241,54703,6538,2015-2019 historical data
United States,weekly,11/2/2020,11/8/2020,2020,11,45,64881,54902,9979,2015-2019 historical data
United States,weekly,11/9/2020,11/15/2020,2020,11,46,66378,55223,11155,2015-2019 historical data
United States,weekly,11/16/2020,11/22/2020,2020,11,47,68877,55732,13145,2015-2019 historical data
United States,weekly,11/23/2020,11/29/2020,2020,11,48,69441,56481,12960,2015-2019 historical data
United States,weekly,11/30/2020,12/6/2020,2020,12,49,71642,57420,14222,2015-2019 historical data
United States,weekly,12/7/2020,12/13/2020,2020,12,50,72561,58449,14112,2015-2019 historical data
United States,weekly,12/14/2020,12/20/2020,2020,12,51,65948,59473,6475,2015-2019 historical data
